,filename,group,outliers,idf,algorithm,AMI,Sil,CH,DB,iXB,iPS,irCIP,TS
0,dataS/base/arff/base_data_16.arff,base,normal,0,dSalmon,0.699877521606286,0.336189854797044,2724.11353713305,6.92180100820608,1844.11975574113,-54.9272535155025,330348.478116488,0.57849406958117
1,dataS/base/arff/base_data_16.arff,base,normal,0,CluStream,0.54455050563141,0.241098134099865,2947.38188484129,4.00560657381294,12.8692242047639,0.492144694915752,48.4003173908924,0.360172229481592
2,dataS/base/arff/base_data_16.arff,base,normal,0,DenStream,0.970107799230844,0.834918702960196,77529.0548971227,1.37425653174395,250.024393663701,-0.0434813798163831,133.809520407922,0.740390559149113
3,dataS/base/arff/base_data_16.arff,base,normal,0,BIRCH,0.717924980756411,0.701027776512729,12419.4146684432,0.447702408519853,0.122755489853542,1.54429483066072,0.0138329140952199,0.618099055743775
4,dataS/base/arff/base_data_16.arff,base,normal,0,StreamKM,0.0867801738222833,-0.0933317859813932,196.772881208402,6.73876382353823,33.7026572816814,1.19472681093306,90.2012738150238,0.154401430417606
5,dataS/base/arff/base_data_16.arff,base,normal,0,GT,1,0.947194199503497,67240.8603232594,1.24256101407805,0.0317255832985241,0.768792313382151,11.1543379750705,0.799826444532204
6,dataS/base/arff/base_data_1.arff,base,normal,1,dSalmon,0.575959998090989,0.379341637381989,1150.54316213475,4.99735960712945,938.732985827279,-38.5437472677967,2920.45615216505,0.494426657040678
7,dataS/base/arff/base_data_1.arff,base,normal,1,CluStream,0.187676177075697,0.10475104780309,1459.96768696948,3.41069840426559,3.9787379292224,0.810341352042687,1.21745454497777,-0.0636314283616672
8,dataS/base/arff/base_data_1.arff,base,normal,1,DenStream,0.906859271416511,0.911657983320691,50422.7383511334,0.181391128681296,0.0449738251570392,2.11587252896212,0.0692292553452988,0.680949423233754
9,dataS/base/arff/base_data_1.arff,base,normal,1,BIRCH,0.013991513814548,-0.0466044262033715,80.237229884876,12.115211112634,26.2418550877336,1.26909014654586,1.37002410995188,0.246090160473909
10,dataS/base/arff/base_data_1.arff,base,normal,1,StreamKM,0.0195501992055862,-0.0580155159941467,112.309432631272,19.3083859127649,139.905657350425,1.0708215420637,1.44764767214882,0.191648275498042
11,dataS/base/arff/base_data_1.arff,base,normal,1,GT,1,0.936211541430229,45889.2614967784,1.10697327018148,0.0597314987853531,1.66029397802393,0.213296047513631,0.855330801643084
12,dataS/base/arff/base_data_5.arff,base,normal,2,dSalmon,0.825811803622196,0.0322686487103926,4107.41972233023,5.82059330084861,1987.29443230016,-21.2182544796885,4923.88667848865,0.533085398513419
